Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
LVR02222,HEALTH (2),Death Magic,Loma Vista,"Cass, Album, Ltd, RE, Bla",,2021,20111173,Uncategorized,2021-11-13 14:22:51,
MKC 1800,"Igor Stravinsky, Sir Eugene Goossens, The London Symphony Orchestra",The Rite Of Spring,Madacy,"Cass, Album",,0,12237586,Uncategorized,2022-04-12 15:06:51,
MAG48,Undeath,Lesions Of A Different Kind,Maggot Stomp,Cass,,2020,16114290,Uncategorized,2021-11-13 14:01:43,
MAG49,200 Stab Wounds,Piles of Festering Decomposition,Maggot Stomp,"Cass, EP, RE",,2021,20604877,Uncategorized,2021-11-30 07:49:54,
MAG58,Unurnment,Self-Immolation Suite,Maggot Stomp,Cass,,2020,16114449,Uncategorized,2021-11-13 14:00:42,
MAG62,Inoculation (3),Celestial Putridity,Maggot Stomp,"Cass, Album",,2021,18230044,Uncategorized,2022-07-13 19:54:37,
MAG72,200 Stab Wounds,Slave To The Scalpel,Maggot Stomp,"Cass, Bla",,2021,20869096,Uncategorized,2021-11-30 07:50:07,
MAG77,Needlepusher,Abyssal Internment,Maggot Stomp,Cass,,2021,21459172,Uncategorized,2022-01-23 13:22:53,
MAG83,Tribal Gaze,Godless Voyage,Maggot Stomp,"Cass, EP, RM",,2022,23120552,Uncategorized,2022-07-13 19:14:41,
MAG85,Fulci (2),Tropical Sun,Maggot Stomp,"Cass, Album",,2022,23915969,Uncategorized,2022-07-17 12:59:16,
MAG86,Fulci (2),Exhumed Information,Maggot Stomp,"Cass, Album, RE",,2022,23888240,Uncategorized,2022-07-17 12:55:34,
3984-14037-4,Cannibal Corpse,The Bleeding,Metal Blade Records,"Cass, Unc",,1994,20560021,Uncategorized,2021-11-13 14:22:00,
MG116,Grand Veymont,Persistance Et Changement,Moon Glyph,Cass,,2021,19455484,Uncategorized,2021-11-13 14:34:03,
MG87,Grand Veymont,Grand Veymont,Moon Glyph,"Cass, Ltd",,2021,19455676,Uncategorized,2021-11-13 14:34:07,
MG97,Grand Veymont,Route Du Vertige,Moon Glyph,"Cass, Ltd",,2021,19455589,Uncategorized,2021-11-13 14:34:01,
MWR - 143,Crusader No Remorse,Crusader No Remorse,Moonworshipper Records,"Cass, Ltd, C20",,2022,24252218,Uncategorized,2022-09-13 11:13:15,
040,Flavor Crystals,The Shiver Of The Flavor Crystals,MPLS Ltd,"Cass, Album, Sil",,2015,8426132,Uncategorized,2016-04-23 00:40:18,
9 61079-4,Wire,Document And Eyewitness,"Mute, Elektra Entertainment","Cass, Album",,1991,2917886,Uncategorized,2022-01-23 13:22:29,
"9 61001-4, 61001-4",Throbbing Gristle,Throbbing Gristle's Greatest Hits (Entertainment Through Pain),"Mute, Mute","Cass, Comp, RM, SR,",,1990,668243,Uncategorized,2022-04-14 16:04:04,
"9 61093-4, 61093-4",Throbbing Gristle,The Second Annual Report,"Mute, Mute","Cass, Album, P/Mixed, RE",,1991,328394,Uncategorized,2022-04-24 16:38:05,
NTC 30007,Various,Nettwerk Sound Sampler (Food For Thought),Nettwerk,"Cass, Comp",,1987,1001534,Uncategorized,2021-11-13 13:58:05,
NTLC 30025,Various,Nettwerk Sound Sampler Volume Two - A Food For Thought,Nettwerk,"Cass, Comp, Smplr",,1988,1055198,Uncategorized,2021-11-13 13:58:28,
W4-30035,Severed Heads,Rotund For Success,Nettwerk,"Cass, Album, Dol",,1989,1004772,Uncategorized,2022-04-11 19:11:43,
W4 30026,Chris & Cosey,Trust,"Nettwerk, Capitol Records","Cass, Album, Dol",,1989,1201786,Uncategorized,2022-04-07 19:33:35,
NNA015,Julia Holter,Live Recordings,NNA Tapes,"Cass, C54",,2010,2646887,Uncategorized,2022-04-15 16:02:03,
NNA031,Laurel Halo,Antenna,NNA Tapes,"Cass, Ltd, C30",,2011,2920407,Uncategorized,2022-04-15 16:02:03,
NNA137,Sally Decker,In The Tender Dream,NNA Tapes,"Cass, Album, Ltd",,2021,19861813,Uncategorized,2021-11-13 14:14:09,
NP-005,Teenage Moods,Rosebuds,No Problem Records (2),"Cass, EP, Ltd",,2014,6249904,Uncategorized,2016-06-15 13:27:06,
NP-014,The Cult Of Lip,The Cult Of Lip,No Problem Records (2),"Cass, EP, Ltd, Red",,2015,7935523,Uncategorized,2016-04-22 06:43:46,
NP-017,Pale Spectre,Principles & Faculties,No Problem Records (2),"Cass, Album",,2016,8439532,Uncategorized,2016-04-26 00:25:04,
NI-003,Falling (4),Out Of Sight,Northern Isolation,"Cass, Album",,2016,8761627,Uncategorized,2016-07-11 01:40:15,
none,Ahab (4),The Call Of The Wretched Sea,Not On Label,"Cass, Album, Ltd, RE, Sli",,2021,19196407,Uncategorized,2021-11-13 14:15:01,
none,A Place To Bury Strangers,A Place To Bury Strangers,Not On Label (A Place To Bury Strangers Self-released),"Cass, Album, pur",,2008,6942588,Uncategorized,2016-06-06 02:11:54,
none,Brilliant Beast (3),Dissolve,Not On Label (Brilliant Beast Self-released),"Cass, Album",,2015,8529265,Uncategorized,2016-05-16 20:54:17,
none,Darkthrone,Transilvanian Hunger,Not On Label (Darkthrone),"Cass, Album, Unofficial",,2021,18548860,Uncategorized,2022-09-13 14:30:01,
